Record ID,Category,Prompt Preview,检查是否完成,是否存在Viewer失败项,是否待仿真,标注版本,零件拆分与活动属性是否合理,零件数量和种类是否符合描述,必要结构是否完整,几何形状、尺寸和比例是否合理,零件位置、朝向与装配关系是否合理,初始状态是否不存在非预期穿插、悬浮或脱离,父子关系与连接对象是否正确,活动零件是否具有对应的运动学关节,运动学关节类型是否正确,运动学关节的位置与轴向是否正确,运动学关节的运动范围是否合理,活动零件是否具有可信的实体连接或支撑结构,运动过程中是否不存在非预期穿模或几何干涉,多部件机构的连接与运动关系是否合理,Notes,Annotator,Legacy Failure Types,Legacy Source,Legacy Conversion Notes,Created At,Updated At
rec_air_conditioning_machine_7e491607358345d4af18dd84accf03d3,Air conditioning machine,"A ceiling-suspended cassette air conditioning machine with a square panel, a central intake grille, and four outlet flaps around the perimeter. The four outl...",是,是,否,new,满足,满足,不满足,满足,满足,满足,满足,不满足,满足,满足,满足,不满足,满足,满足,,wanglin,,,,2026-07-17T20:46:00.527356+00:00,2026-07-29T23:53:59.333090+00:00
rec_adjustable_weight_bench_with_hinged_backrest_8590c7ba954646b0b7f0a1b6fecc6b44,Adjustable weight bench with hinged backrest,"A flat-incline utility bench with a rectangular base, a hinged backrest, a smaller seat pad, and a rear ladder support, plus a front carry handle between the...",是,是,否,new,不满足,不涉及,不满足,不涉及,不涉及,不满足,不涉及,不涉及,不涉及,不涉及,不涉及,不满足,不涉及,不涉及,,wanglin,,,,2026-07-17T20:46:15.874335+00:00,2026-07-29T23:53:59.333090+00:00
rec_air_fryer_with_pullout_basket_14ac4c8c9e35416b864382571fa27e62,Air fryer with pullout basket,"A cylindrical matte-finish air fryer with a rounded body, a short basket drawer, and a top control tower carrying a temperature dial, a time dial, and a keep...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,不满足,满足,满足,满足,满足,满足,,wanglin,,,,2026-07-17T20:58:50.493522+00:00,2026-07-29T23:53:59.333090+00:00
rec_threejoint_revolute_chain_85fb958e4e69447f9cc50408d313f8ee,Three-joint revolute chain,"A wall-mounted inspection arm with a grounded base plate, three rigid links, and a small square pad at the end. The link lengths should vary enough to give t...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,满足,不涉及,,yiyun,,,,2026-07-18T18:31:50.737462+00:00,2026-07-29T23:53:59.333090+00:00
rec_threestage_telescoping_slide_a3fbf11eb0f540f2b80c226b252a5c10,Three-stage telescoping slide,A service fixture built as a nested three-stage slide. A grounded outer guide supports successive inner runners with plain rectangular front faces and practi...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,yiyun,,,,2026-07-18T18:35:48.028729+00:00,2026-07-29T23:53:59.333090+00:00
rec_tilting_fan_540930b6847a441892643dedf9b71761,Tilting fan,"A desk fan with a tilting head. A base supports a guarded fan head between two side brackets. Joints: the fan rotor spins continuously about its axle, and th...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T18:42:11.050623+00:00,2026-07-29T23:53:59.333090+00:00
rec_toaster_oven_9c7391223cd4493699fe5c76b91754c1,Toaster oven,Create a cost-optimized mass-manufacturable Toaster oven. Base architecture: a rectangular oven body with front door and shaft-driven control knobs. Reduce p...,是,是,否,new,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,yiyun,,,,2026-07-18T18:46:16.969229+00:00,2026-07-29T23:53:59.333090+00:00
rec_top_load_washing_machine_with_hinged_lid_edd9109be75e4ef6a1bcf51f2b050268,Top-load washing machine with hinged lid,"A family top-load washer with a glass lid, a wide drum opening, and two flip-up dispenser lids set into the rear corners of the top deck behind a selector kn...",是,是,否,new,满足,满足,不满足,满足,满足,满足,满足,不满足,不满足,不满足,满足,不满足,满足,不涉及,,yiyun,,,,2026-07-18T18:52:17.621951+00:00,2026-07-29T23:53:59.333090+00:00
rec_tower_fan_with_rotary_controls_c23bcbc7114b484290d573db335cd72d,Tower fan with rotary controls,"A modern tower fan with a tall rectangular housing, a circular pedestal base, and a top control deck carrying rotary knobs, plus a carry handle integrated in...",是,是,否,new,满足,不满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T18:57:04.076633+00:00,2026-07-29T23:53:59.333090+00:00
rec_toy_car_02be9890023a4e7f9b4116f3da82848f,Toy car,"A toy off-road buggy with a faceted body shell, a roof bar, open wheel arches, and four chunky wheels. The four wheels rotate continuously on their axles, an...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,,yiyun,,,,2026-07-18T19:00:18.907750+00:00,2026-07-29T23:53:59.333090+00:00
rec_toy_model_planes_e0465bef51574bd8aa8f5c28bddc3c17,Toy model planes,"A small propeller model airplane. A fuselage carries fixed wings and tail, with a nose propeller and a simple landing gear or display peg under the belly. Jo...",是,是,否,new,满足,不满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:03:29.661870+00:00,2026-07-29T23:53:59.333090+00:00
rec_traditional_windmill_00b3e45fa2e04aeaa5fb363f96b2115e,Traditional windmill,A traditional windmill with a rotating sail hub. A tower body supports a cap and a front hub carrying multiple lattice blades. Joints: the blade hub rotates...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:06:38.486332+00:00,2026-07-29T23:53:59.333090+00:00
rec_tripodmounted_device_4bef7e09407d471691dbfbcc8e710dea,Tripod-mounted device,"A compact optical device on a tripod with folding legs, a sliding center mast, and a protective front cover on the device face. The legs rotate on crown hing...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:08:55.987773+00:00,2026-07-29T23:53:59.333090+00:00
rec_turnstile_gates_8eaceeb4c6df41858cafad676d36acd9,Turnstile Gates,A three-arm turnstile gate. A central column supports a rotor hub with three radial arms inside a fixed frame. Joints: the arm hub rotates continuously about...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:11:01.732940+00:00,2026-07-29T23:53:59.333090+00:00
rec_turntable_0001,Turntable,"A realistic, highly detailed turntable with a low rectangular plinth, a circular platter, a pivoted tonearm, a compact cartridge head, and convincing hi-fi e...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:13:15.405387+00:00,2026-07-29T23:53:59.333090+00:00
rec_tv_wall_mount_0002,TV wall mount,"Design a realistic, highly detailed TV wall mount as a standalone mechanical study assembly for the sdk_hybrid pipeline, with a wall-mounted support mechanis...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:15:27.635839+00:00,2026-07-29T23:53:59.333090+00:00
